ma: 0026; IF; io: 60; ki: 0000; ir: 06; ip: 0026 xp: FFFA; yp: 0000; ys: 0000 ra: 01; rb: 00; cy: 0
ma: FFFA; WR; io: 01; ki: 0000; ir: 06; ip: 0027 xp: FFFA; yp: 0000; ys: 0000 ra: 01; rb: 00; cy: 0
ma: 0027; IF; io: 45; ki: 0005; ir: 04; ip: 0027 xp: FFFA; yp: 0000; ys: 0000 ra: 01; rb: 00; cy: 0
ma: FFFF; RD; io: 00; ki: 0000; ir: 04; ip: 0028 xp: FFFA; yp: 0000; ys: 0000 ra: 01; rb: 00; cy: 0
ma: 0028; IF; io: 21; ki: 0001; ir: 11; ip: 0029 xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 0029; IF; io: 43; ki: 0003; ir: 04; ip: 0029 xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: FFFD; RD; io: 00; ki: 0000; ir: 04; ip: 002A xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 002A; IF; io: 26; ki: 0006; ir: 16; ip: 002B xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 002B; IF; io: 61; ki: 0001; ir: 06; ip: 002B xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: FFFB; WR; io: 00; ki: 0001; ir: 06; ip: 002C xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 002C; IF; io: 24; ki: 0004; ir: 14; ip: 002D xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 002D; IF; io: 11; ki: 0001; ir: 01; ip: 002E xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0
ma: 002E; IF; io: C3; ki: FFE3; ir: 0C; ip: 0012 xp: FFFA; yp: 0000; ys: 0000 ra: 00; rb: 00; cy: 0

